chordid	label	fifth	type
0	major	1	chordtone
0	major	4	chordtone
0	major	0	chordtone
0	major	1	chordtone
0	major	4	chordtone
0	major	2	ornament
0	major	0	chordtone
0	major	1	chordtone
1	major	4	chordtone
1	major	4	chordtone
2	major	1	chordtone
2	major	0	chordtone
3	dominant	0	chordtone
3	dominant	-2	ornament
4	major	4	chordtone
4	major	1	chordtone
4	major	4	chordtone
4	major	0	chordtone
4	major	1	chordtone
4	major	4	chordtone
4	major	2	ornament
4	major	0	chordtone
4	major	5	ornament
5	minor	-3	chordtone
5	minor	2	ornament
5	minor	0	unknown
5	minor	2	ornament
5	minor	-3	chordtone
6	dominant	3	unknown
6	dominant	1	unknown
7	dominant	0	chordtone
7	dominant	1	chordtone
7	dominant	1	chordtone
7	dominant	4	chordtone
7	dominant	0	chordtone
8	major	4	chordtone
8	major	2	ornament
9	major	1	chordtone
9	major	4	chordtone
10	minor	-3	unknown
10	minor	2	unknown
10	minor	0	ornament
10	minor	-2	chordtone
11	dominant	-1	chordtone
11	dominant	4	ornament
12	major	0	chordtone
12	major	1	chordtone
12	major	4	chordtone
12	major	0	chordtone
12	major	1	chordtone
12	major	4	chordtone
12	major	2	ornament
12	major	0	chordtone
12	major	1	chordtone
13	major	4	chordtone
13	major	4	chordtone
14	major	1	chordtone
14	major	0	chordtone
15	dominant	0	chordtone
15	dominant	-2	ornament
16	major	4	chordtone
16	major	1	chordtone
16	major	4	chordtone
16	major	0	chordtone
16	major	1	chordtone
16	major	4	chordtone
16	major	2	ornament
16	major	0	chordtone
16	major	5	ornament
17	minor	-3	chordtone
17	minor	2	ornament
17	minor	0	unknown
17	minor	2	ornament
17	minor	-3	chordtone
18	dominant	3	unknown
18	dominant	1	unknown
19	dominant	0	chordtone
19	dominant	1	chordtone
19	dominant	1	chordtone
19	dominant	4	chordtone
19	dominant	0	chordtone
20	major	4	chordtone
20	major	2	ornament
21	major	1	chordtone
21	major	4	chordtone
22	minor	-3	unknown
22	minor	2	unknown
22	minor	0	ornament
22	minor	-2	chordtone
23	dominant	-1	chordtone
23	dominant	4	ornament
24	major	0	chordtone
25	major	0	chordtone
25	major	2	ornament
25	major	5	ornament
25	major	1	chordtone
25	major	3	ornament
25	major	5	ornament
25	major	1	chordtone
25	major	1	chordtone
25	major	3	ornament
25	major	5	ornament
25	major	1	chordtone
25	major	3	ornament
26	dominant	-2	ornament
26	dominant	-2	ornament
26	dominant	3	chordtone
26	dominant	1	ornament
26	dominant	0	chordtone
26	dominant	3	chordtone
27	minor	-1	ornament
27	minor	1	unknown
27	minor	-3	chordtone
27	minor	-3	chordtone
28	dominant	3	unknown
28	dominant	1	unknown
28	dominant	0	chordtone
28	dominant	3	unknown
29	dominant	2	chordtone
29	dominant	2	chordtone
30	major	0	chordtone
30	major	2	ornament
30	major	5	ornament
30	major	1	chordtone
30	major	3	ornament
30	major	5	ornament
30	major	1	chordtone
30	major	1	chordtone
30	major	3	ornament
30	major	1	chordtone
31	dominant	0	chordtone
31	dominant	4	chordtone
32	major	3	chordtone
32	major	3	chordtone
32	major	3	chordtone
32	major	0	chordtone
33	minor	3	ornament
33	minor	1	chordtone
34	major	3	unknown
34	major	5	unknown
35	minor	0	chordtone
36	dominant	-2	chordtone
36	dominant	0	ornament
37	dominant	-2	chordtone
37	dominant	1	chordtone
38	minor-seventh	-2	chordtone
39	dominant	1	chordtone
40	major	0	chordtone
40	major	0	chordtone
41	major	0	unknown
41	major	5	unknown
41	major	0	unknown
42	dominant	0	ornament
42	dominant	0	ornament
42	dominant	-2	chordtone
43	minor-seventh	-1	unknown
43	minor-seventh	-1	unknown
43	minor-seventh	1	unknown
43	minor-seventh	1	unknown
44	dominant	3	chordtone
44	dominant	3	chordtone
44	dominant	1	ornament
45	minor-seventh	-1	unknown
